training_loss,validation_loss,training_accuracy,validation_accuracy
0.6322038763624322,0.6288309474534626,0.7852,0.7832
0.526220150920741,0.5233796057821829,0.82112,0.8184
0.4937570263510165,0.4916869028459621,0.82676,0.8307
0.4524871545374546,0.4532366028126282,0.84396,0.8395
0.4421564577638036,0.44356673503223853,0.84102,0.8391
0.41905424993513796,0.4207422887977165,0.85162,0.8495
0.41554386860421855,0.42121191002145597,0.85338,0.8508
0.38607862290671413,0.39218125973321216,0.86422,0.8617
0.3876560170327306,0.3982203161414665,0.86266,0.8586
0.37778586755170845,0.39072495019888576,0.86704,0.8612
0.3640941234348375,0.3766514349587356,0.8717,0.8676
0.35484964741617825,0.36953040052063857,0.87492,0.8678
0.3530413903238828,0.36861450875861734,0.87428,0.8704
0.3439131512132752,0.3601897102368029,0.8775,0.8743
0.3410463135336976,0.36421720438365696,0.87994,0.8731
0.3351967883917987,0.3574904473144797,0.87998,0.8732
0.33092765677767944,0.35069215222250055,0.88098,0.8732
0.3257933991873051,0.3467386996821512,0.88402,0.8755
0.31994425198611093,0.34110757916034024,0.88544,0.88
0.3151780433209656,0.3374705640952798,0.8879,0.8806
0.3153743672630061,0.34146670336964763,0.88796,0.8812
0.31942857935300567,0.3449656306942807,0.88554,0.875
0.3057560416514916,0.33121379832678205,0.891,0.8826
0.3106889224723172,0.33984053304678274,0.88706,0.8784
0.2994397717821019,0.33601025576832927,0.89262,0.8846
0.29458908839603826,0.325545158001441,0.89504,0.8849
0.2926636663315546,0.32044765041976037,0.89586,0.8863
0.29048187520040575,0.32193417432187477,0.89586,0.8869
0.290355142882413,0.32562101943583427,0.89482,0.8856
0.286152158780476,0.3240353662190558,0.89766,0.8826
0.28465924074735177,0.31852655810645863,0.89784,0.8874
0.2913191882164582,0.3392567740211004,0.89376,0.8797
0.28116998674771976,0.3207696074549156,0.89842,0.8853
0.2841348444561824,0.33133043329926987,0.89762,0.8821
0.2691913380113709,0.317387307180634,0.9029,0.8877
0.269951962182284,0.3110603069580054,0.90214,0.8899
0.2661428011172568,0.3120336128941065,0.90502,0.8888
0.2644523993477492,0.31451676352114616,0.90466,0.8863
0.259844569675148,0.31137134021596063,0.9078,0.8892
0.25941173747524887,0.3106187872494323,0.90588,0.8876
0.2623451238931597,0.3120182388568226,0.9055,0.8883
0.2678762321429484,0.3192496312947213,0.90214,0.8852
0.26540722261609323,0.31167811419390423,0.90404,0.8906
0.2538137756802542,0.30513652725310264,0.91044,0.8908
0.2547717826140811,0.3059302500531643,0.90938,0.892
0.24946290378451652,0.30732229597206356,0.90984,0.8873
0.24493851827081206,0.29847624544290047,0.91174,0.8936
0.24430821876010628,0.30486945242066926,0.91202,0.8898
0.25269072956365085,0.3076307532153552,0.90834,0.8897
0.24115409669668778,0.30101797324192675,0.91412,0.8943
0.23883441566963634,0.30115835557255566,0.91362,0.8943
0.23893269747876755,0.3069112529105778,0.91396,0.8901
0.24045099975431666,0.30414976330497595,0.91242,0.8902
0.2355840052180278,0.3050338988062702,0.91578,0.891
0.24290550353429508,0.3146634160340587,0.91346,0.884
0.22875642618331152,0.29521145841366125,0.91824,0.8946
0.23363741574918523,0.30008718729773654,0.91552,0.889
0.22663692341131322,0.2984765641674211,0.91884,0.8932
0.2394667380987226,0.3121339756099484,0.91218,0.8846
0.2273032160480614,0.3018338821734054,0.91744,0.8944
0.2270495905100232,0.30261470019062864,0.91716,0.8932
0.2212819895133033,0.29031174431873275,0.92068,0.8988
0.21785196309428081,0.2957980710117123,0.92248,0.8955
0.23633414556455734,0.3099640762504143,0.91284,0.89
0.2206460045236151,0.29919880062718934,0.92194,0.8916
0.21785505619042975,0.30103206219552436,0.92086,0.8904
0.2098578560497145,0.29195596541784985,0.92568,0.8962
0.21423501599475245,0.29892229694354383,0.92576,0.8953
0.20849762773117447,0.2888771044679835,0.92516,0.8985
0.2124216231276922,0.29752392915985254,0.92406,0.894
0.20582447463975234,0.2909950670562213,0.92556,0.8933
0.21137566990254786,0.3045527727543553,0.92328,0.8926
0.21588919607117352,0.30721141699748705,0.9215,0.8899
0.20566767549423307,0.3007348196793206,0.92728,0.8949
0.20720281206128544,0.2963483761760253,0.92518,0.896
0.20113861328348173,0.28624345418773117,0.9291,0.8976
0.19875047340646118,0.2857736168028433,0.93006,0.8968
0.1989284655284089,0.28908547806211665,0.92906,0.8997
0.19921088651241853,0.2943515945461732,0.93022,0.8957
0.19436050772362048,0.2868486722058888,0.93298,0.8983
0.19715457874567002,0.29214616025550455,0.93154,0.8936
0.19178204992047662,0.29054236562946173,0.932,0.8971
0.19334662848573816,0.2924738266045534,0.93158,0.8999
0.19761570748846854,0.29225544433427764,0.929,0.8986
0.18796976347027533,0.29184828849532934,0.93448,0.8977
0.18938933833099691,0.2889893419003185,0.93434,0.8982
0.20054738772342273,0.30424731894384455,0.92936,0.8895
0.18608695579230633,0.2875399540496778,0.93434,0.899
0.186469018649872,0.29003394781788694,0.93398,0.8962
0.18645532303454015,0.2925658733407153,0.93544,0.8948
0.19586876023303518,0.3061416992281057,0.92944,0.897
0.18614892263317961,0.2903787916219687,0.93328,0.8954
0.1974410980634982,0.3096824286482002,0.9287,0.886
0.1934362313212336,0.3012678323290016,0.9308,0.8915
0.17869534703624218,0.2849682505372204,0.93864,0.9014
0.1795205958282856,0.2944070153598544,0.93798,0.8963
0.19508059717276516,0.3020928645435768,0.93048,0.8899
0.1779748476908335,0.29125584793996206,0.93658,0.8993
0.17946219263250565,0.2932487758277338,0.93688,0.8967
0.17604756555365175,0.2913622656200506,0.93862,0.8958
