training_loss,validation_loss,training_accuracy,validation_accuracy
0.4331966483941069,0.43702858794268684,0.84492,0.8423
0.3846976583531138,0.39433802353356584,0.86108,0.8589
0.36311183546869436,0.3797037693267339,0.8708,0.8626
0.37397882120510995,0.40628896476275334,0.86522,0.8536
0.34177011912216787,0.3675909603053131,0.87528,0.8654
0.34701016317784705,0.3830760167696617,0.87148,0.8599
0.33346562551541814,0.36795000717481835,0.87828,0.869
0.32378008600311675,0.3686932942543641,0.88322,0.8675
0.30322558506222186,0.3437874062021968,0.88824,0.8762
0.308432863366426,0.3553991451976823,0.88946,0.8737
