training_loss,validation_loss,training_accuracy,validation_accuracy
0.4559955353234208,0.46492654985532283,0.83502,0.8281
0.4023931122566116,0.41942588466648884,0.85504,0.8477
0.3714547287217192,0.3886742196919011,0.86464,0.859
0.3487685034533659,0.37062309226145046,0.87598,0.8675
0.3371711388289337,0.3629788252618113,0.87874,0.8746
0.33961428424523304,0.3704472144219726,0.87794,0.8709
0.3162152195362386,0.354332797232455,0.8863,0.8743
0.3149212405004109,0.35837033516576766,0.88788,0.87
0.3094015143889071,0.3580143312144487,0.8883,0.8693
0.31397566804405536,0.3647063402497478,0.88342,0.8674
0.29483347078491107,0.3512839508283163,0.89052,0.8749
0.28770547642566663,0.3427103339573339,0.89564,0.8795
0.2877142624534018,0.3526621433525068,0.8957,0.8722
0.27197959550698136,0.3405241995335369,0.9021,0.8794
0.2753572547174762,0.34353562644790064,0.89956,0.8771
0.27058116499290846,0.3433581356277345,0.9015,0.8812
0.2622839575065547,0.3400486178697367,0.90476,0.8794
0.2621228046441285,0.3464112953466016,0.9049,0.8774
0.2650765285698061,0.34658330753130084,0.90414,0.8766
0.2578996206111879,0.35009345547520987,0.90538,0.8732
0.2551213846806162,0.34641610346055757,0.90686,0.8763
0.2610729400926398,0.3624475743385984,0.90356,0.8739
0.2513284904127005,0.35156539443812707,0.90848,0.8787
0.2472648971560927,0.35253870376563384,0.91022,0.8789
0.24298600512408633,0.3526585498743855,0.91102,0.8764
0.23342477456630825,0.3417729934000664,0.91606,0.8829
0.2324956853339987,0.34279826602911184,0.91622,0.8821
0.22892336220720597,0.34914801420690394,0.91654,0.8802
0.23437189740459202,0.3500132995111526,0.91492,0.8794
0.23463149836722386,0.35896259357152766,0.91372,0.8743
0.24273873864903925,0.3584101116290011,0.91074,0.8765
0.22100620283156186,0.3488272179957894,0.91962,0.8793
0.24464148889197695,0.3764299787624378,0.90926,0.8662
0.23367629380511276,0.36094559583486985,0.91428,0.8771
0.21858815609709484,0.3486028492812388,0.92124,0.8822
0.214132682581573,0.34937720652118787,0.92264,0.8775
0.2133580581335496,0.35474006996331864,0.9228,0.8824
0.21769371115242414,0.35826305284454907,0.92054,0.8789
0.2188324566105054,0.36948524578314385,0.91892,0.8763
0.20985786641486495,0.35762741884094,0.92464,0.879
0.2095125457589773,0.3625901224314776,0.92446,0.8761
0.20782354318522764,0.36304949609218645,0.92422,0.8824
0.2101391344959966,0.3638424144674333,0.92366,0.8794
0.21392678511020094,0.37635656407311247,0.92166,0.8773
0.20981751869897966,0.38040815947555784,0.9244,0.8745
0.1885757868924531,0.3584571546344753,0.9321,0.8801
0.19306310121699968,0.3616619897635062,0.93002,0.8809
0.20989516452065093,0.37031161447090843,0.92426,0.8786
0.2024229845948779,0.3790742870465558,0.92738,0.8765
0.21413595968208846,0.4007638513037276,0.92012,0.8671
0.20965005638491566,0.38565512511980554,0.92226,0.8697
0.19669065249263584,0.3702218094343511,0.9294,0.877
0.19680518126961757,0.3821735888944928,0.92764,0.8757
0.20420307027387022,0.3793826190200615,0.9263,0.8759
0.20103013465577482,0.3913282657630317,0.92694,0.8692
0.18344314040726176,0.36715213931910845,0.93478,0.8771
0.18574321608662464,0.37245415247939745,0.93376,0.8828
0.2061963176650513,0.3947867112393201,0.92362,0.8719
0.18641377234559914,0.39504355842492933,0.9324,0.8758
0.17635258390064934,0.37803809309574343,0.9373,0.8781
0.1962353893863011,0.39794752882409806,0.92902,0.874
0.18681837133703288,0.3895080455511342,0.93272,0.8727
0.17755639647524696,0.37958219922779735,0.93642,0.877
0.17211621024911763,0.37819426929294275,0.93892,0.8778
0.17081770549487818,0.38141618395206794,0.93988,0.8806
0.19440619259348357,0.3999508680169954,0.92982,0.8764
0.174798885367215,0.38327786343401593,0.93822,0.8776
0.17987690702486678,0.38698051537741923,0.93504,0.8791
0.17535649072952902,0.39323191425252124,0.93782,0.8728
0.17922474776502134,0.3929429940977863,0.93428,0.8731
0.18619688541258386,0.41457017998478596,0.9319,0.8672
0.1639403930335305,0.387306651532514,0.94264,0.8798
0.1943187286641297,0.4107807868996993,0.92914,0.8729
0.1842011973905491,0.4026730979252714,0.9334,0.8743
0.18700095281145354,0.419275052200247,0.93276,0.8691
0.18516075377117125,0.42310726788957925,0.93124,0.8645
0.17186442442829972,0.39802729985520907,0.93958,0.8761
0.17530082198216682,0.40761187444716995,0.938,0.8721
0.1693734478880975,0.4035161831059642,0.93812,0.8697
0.1794328097362975,0.4195130408518065,0.93486,0.8697
0.1640307031095767,0.4077394472488866,0.94128,0.8754
0.1609986789444997,0.40774863329438904,0.94278,0.8724
0.16713599648606395,0.41205378711550567,0.94004,0.8754
0.1771112792104161,0.42673370494792523,0.93526,0.8702
0.1497940260422672,0.40510488397641015,0.9487,0.8751
0.16385468825428554,0.4164372765595323,0.94124,0.8715
0.16058080892196205,0.42362676632501434,0.94358,0.8726
0.16105304803600276,0.418122104179034,0.94266,0.8758
0.15188943669304728,0.4126723604752523,0.94634,0.8748
0.1581627290059243,0.4227313124269128,0.94314,0.8771
0.14613496046883248,0.41417859628627873,0.9492,0.8752
0.14902610898878493,0.41412451621104657,0.94918,0.8747
0.17410063013705077,0.4514762080983067,0.93682,0.8639
0.146323504965126,0.4160872211843205,0.94868,0.8783
0.14716635914484222,0.42514929421217257,0.94812,0.8757
0.14353966098110058,0.42278991040308284,0.9499,0.8707
0.14791925617549553,0.42712217413044307,0.94816,0.8733
0.14177694080025668,0.419341969180231,0.95208,0.8766
0.14711952570678227,0.42552755216935173,0.94956,0.8713
0.14715071331211876,0.43083432924211945,0.94918,0.8735
